Saved Date,Job Url,Job Title,Company Name
"12/7/25, 5:10 PM",http://www.linkedin.com/jobs/view/4342284740,,
"3/18/26, 8:03 PM",http://www.linkedin.com/jobs/view/4387645558,Manual QA Analyst,Lensa
"3/2/26, 4:04 PM",http://www.linkedin.com/jobs/view/4377766557,E-commerce Coordinator,Lambert Nemec Group
"10/11/24, 7:34 AM",http://www.linkedin.com/jobs/view/4031410943,"Application Analyst, Assurance",BDO Canada
"2/22/24, 10:19 AM",http://www.linkedin.com/jobs/view/3813428970,,
"7/25/25, 6:09 AM",http://www.linkedin.com/jobs/view/4275570916,,
"8/28/24, 9:40 AM",http://www.linkedin.com/jobs/view/4000352902,Manual QA Engineer,Keyloop
"5/26/26, 10:32 AM",http://www.linkedin.com/jobs/view/4419432562,Software Engineer in Test,Applicantz
"12/31/24, 5:53 AM",http://www.linkedin.com/jobs/view/4088217788,Analyst  ERP,Rogers Communications
"9/10/25, 4:58 AM",http://www.linkedin.com/jobs/view/4298225017,Quality Assurance Analyst,PrecisionERP / PrecisionIT
"8/1/25, 5:51 AM",http://www.linkedin.com/jobs/view/4275088940,Quality Assurance Analyst,Pollard Banknote Limited
"12/15/24, 7:43 PM",http://www.linkedin.com/jobs/view/4098471929,Junior QA Analyst,Leap Event Technology
"4/13/26, 7:12 AM",http://www.linkedin.com/jobs/view/4400986982,Systems Testing/QA Specialist,Teckhorizon Inc
"7/21/25, 6:10 AM",http://www.linkedin.com/jobs/view/4256195877,Quality Assurance Analyst,Randstad Digital
"2/19/26, 3:21 PM",http://www.linkedin.com/jobs/view/4375425397,HelpDesk Technician,Soroc Technology
"6/2/26, 10:46 AM",http://www.linkedin.com/jobs/view/4420249785,Package Handler (Warehouse like),FedEx Canada
"8/28/24, 9:41 AM",http://www.linkedin.com/jobs/view/3985303006,Web Application Penetration Tester,Wawanesa Insurance
"3/28/26, 8:53 AM",http://www.linkedin.com/jobs/view/4392750461,Manual QA Engineer,HiJob.work
"7/10/25, 5:29 AM",http://www.linkedin.com/jobs/view/4260944836,Associate Functional Support Analyst,Manitoba Public Insurance
"4/16/26, 8:27 PM",http://www.linkedin.com/jobs/view/4402170682,Junior Test Analyst,Vecima Networks Inc.
"5/26/25, 2:13 PM",http://www.linkedin.com/jobs/view/4231026920,,
"12/15/24, 7:42 PM",http://www.linkedin.com/jobs/view/4099219459,Senior Quality Assurance Analyst,Compunnel Inc.
"1/9/25, 8:04 AM",http://www.linkedin.com/jobs/view/4115358488,Product Analyst,Skip
"4/8/26, 6:37 PM",http://www.linkedin.com/jobs/view/4398633654,Software Test Engineer,Adecco
"8/28/24, 9:43 AM",http://www.linkedin.com/jobs/view/3999392041,Inventory Analyst,Cabela's
"3/30/26, 3:30 PM",http://www.linkedin.com/jobs/view/4392934445,Junior Software Quality Engineer,Helic & Co.
"10/7/24, 10:05 AM",http://www.linkedin.com/jobs/view/3926311072,IT Business Analyst - Red River Co-op,Federated Co-operatives Limited
